hash,author,date,category,summary
b337d210583a3f5f84d0f70b56ae9a82b029dab5,David Lord,2024-10-18 10:02:35-07:00,refactor/others,update dev dependencies
e63ead4208c1e56723532878728ef9c2eb197b01,Grey Li,2024-09-22 21:42:35+08:00,bugfix,Fix typo in the changelog
2fec0b206c6e83ea813ab26597e15c96fab08be7,David Lord,2024-09-01 09:04:14-07:00,refactor/others,set up pre-commit lite workflow
111e5bd3129deee54ff62b0d13ed7e5739c27108,David Lord,2024-09-01 08:48:02-07:00,refactor/others,set up pre-commit lite workflow
db49548d7168bba319fdba400bc201528cb1d3cd,David Lord,2024-09-01 08:32:27-07:00,refactor/others,set up pre-commit lite workflow
f93dd6e826a9bf00bf9e08d9bb3a03abcb1e974c,David Lord,2024-08-23 18:05:21-07:00,refactor/others,remove pre-commit.ci update
7e5307030743b1f198da38c36f83fd279bad4529,David Lord,2024-08-23 17:20:31-07:00,refactor/others,Merge branch '3.0.x'
c77b099cbb979269d45df06753cadd8abc662e23,David Lord,2024-08-23 17:18:38-07:00,refactor/others,remove min python for pip-compile
eeb5f95a0f24abc5207159cc922cdda8d779f4f6,David Lord,2024-08-23 16:41:53-07:00,refactor/others,Merge branch '3.0.x'
40b78fa2ea9095197608287de9f0d902d2763b00,David Lord,2024-08-23 16:41:39-07:00,bugfix,fix min python for pip-compile
4e6384da325f5c328526b998d199c6f957f90ea8,David Lord,2024-08-23 16:34:57-07:00,refactor/others,Merge branch '3.0.x'
2c5d652493b79eecadd4407f24f2249948bd6ff2,David Lord,2024-08-23 16:33:59-07:00,refactor/others,remove unused config
176fdfa0002360670f698d3828cfff11f97349f0,David Lord,2024-08-23 16:33:52-07:00,bugfix,fix mypy findings
2d31dce8262a68875c177645fa0c7585a45ac447,David Lord,2024-08-23 16:33:40-07:00,refactor/others,remove dependabot
29a94bd102805eafcea94a185808cd878cd3f5ad,David Lord,2024-08-23 16:33:27-07:00,refactor/others,update dev dependencies
0f2ae2b9330604247f553f41d310e7c0191275ef,David Lord,2024-08-23 16:32:33-07:00,feature,add gha-update
8a6cdf1e2a5efa81c30f6166602064ceefb0a35b,David Lord,2024-08-06 08:31:00-07:00,refactor/others,[pre-commit.ci] pre-commit autoupdate (#5541)
326ad3f43c63f84a69d6d08af276cbdf653efc51,pre-commit-ci[bot],2024-08-05 23:09:19+00:00,refactor/others,[pre-commit.ci] pre-commit autoupdate
a791997041b94b8a5effebc296cb427fde8e0ee5,David Lord,2024-08-03 07:28:45-07:00,refactor/others,Bump the github-actions group with 3 updates (#553
4fe0aebab79a092615f5f86a24b91bac07fb2ef2,dependabot[bot],2024-08-01 15:48:34+00:00,refactor/others,Bump the github-actions group with 3 updates
a8956feba1e40105e7bc78fa62ce36c58d1c91e1,David Lord,2024-07-10 19:16:46-07:00,feature,Add encoding parameter to open resource (#5526)
28d5a4d71824ff5823ae310e3fd014b48b33d583,David Lord,2024-07-10 14:37:32+00:00,feature,add encoding parameter to open_resource
5353f306fe0c64ffa9e73f256ba3cb200652354d,David Lord,2024-07-10 18:08:49-07:00,refactor/others,Update waitress.rst (#5522)
321bd74b954156553db3dca8f43b45cdd5a88f76,Amirreza A,2024-07-09 13:50:44+03:30,bugfix,Update waitress.rst
66af0e55ef6631d05c691707da19d0f1c46921ea,David Lord,2024-07-02 04:17:59-07:00,refactor/others,[pre-commit.ci] pre-commit autoupdate (#5517)
3d357273b50ed9c8ca660f60fde255c26ff7a228,pre-commit-ci[bot],2024-07-02 00:15:33+00:00,refactor/others,[pre-commit.ci] pre-commit autoupdate
926ab92118006c74a0a33bcb8f770522d007349a,David Lord,2024-07-01 16:14:08-07:00,refactor/others,Bump the python-requirements group in /requirement
088b58dbceb09b3234926af8488c016227bd7c0e,David Lord,2024-07-01 12:47:02-07:00,refactor/others,Bump the github-actions group with 2 updates (#551
